id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1002,0,feminino,2023,publico,9.002,7.833333333500001,7.51,9.25,nao,8.25,5.0,2024,7.5,10,ametista,10.0,8.5,9.559999999999999,-1.0,7.967866666700001,veterano,escolar,fundamental1,True,False,moderada,1,neutro,,neutro,neutro,,neutro,neutro,,neutro
RA-1003,0,masculino,2023,publico,9.0,8.5,7.52,4.0,nao,8.75,10.0,2023,7.5,8,ametista,8.0,0.0,3.0200000000000005,0.0,7.6522,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,neutro,,,neutro
RA-1003,0,masculino,2023,publico,8.002,8.6944444445,7.51,8.25,nao,7.5,5.0,2024,6.875,9,ametista,10.0,6.5,9.040000000000001,-1.0,7.627588888900001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,neutro,,neutro,neutro,,neutro
RA-1004,0,feminino,2023,publico,9.0,9.6,7.52,7.9,nao,7.42,10.0,2023,6.875,8,topazio,6.5,9.2,7.6,0.0,8.3137,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1004,0,feminino,2023,publico,9.502,9.25,7.51,7.5,nao,7.5,5.0,2024,7.5,9,ametista,7.5,7.5,7.959999999999999,-1.0,7.801200000000001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1005,0,masculino,2023,publico,9.5,7.9,7.52,8.8,nao,8.165,10.0,2023,7.5,8,topazio,8.4,9.2,9.0,0.0,8.4252,ingressante,escolar,fundamental1,True,False,em fase,0,,,,,,,,,
RA-1006,0,feminino,2023,publico,9.0,9.3,7.52,8.7,nao,8.0,10.0,2023,7.5,8,topazio,8.7,8.6,9.040000000000001,0.0,8.5922,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1006,0,feminino,2023,publico,8.502,8.4444444445,7.51,5.0,nao,7.5,5.0,2024,7.5,9,ametista,5.0,5.0,4.9399999999999995,-1.0,7.040088888900001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1007,0,masculino,2023,publico,9.0,7.4,7.52,8.3,nao,7.68,10.0,2023,7.5,0,topazio,8.1,8.5,8.78,0.0,8.0782,ingressante,escolar,fundamental1,True,False,em fase,0,,,,,,,,,
RA-1008,0,masculino,2023,publico,9.0,8.6,7.52,8.4,nao,7.5,10.0,2023,5.9375,8,topazio,7.5,9.2,8.74,0.0,8.13595,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1008,0,masculino,2023,publico,7.002,6.483957219,7.51,7.0,nao,7.5,5.0,2024,7.1875,9,agata,6.5,7.5,6.739999999999999,-1.0,6.8667414438000005,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1009,0,masculino,2023,publico,0.0,9.0,3.77,8.8,nao,7.84,10.0,2023,7.5,8,ametista,8.3,9.2,8.5,0.0,7.245,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,avanco
RA-1009,0,masculino,2023,publico,8.002,6.8863636365000005,2.51,7.5,nao,6.553333333,5.0,2024,6.5625,9,agata,10.0,5.0,7.68,-1.0,6.395389393900001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,avanco,,avanco
RA-101,4,feminino,2021,publico,7.9,8.3,7.5,7.6,nao,6.833,5.0,2022,7.1666666668,15,ametista,7.2,6.5,9.2,-1.0,7.305,veterano,escolar,fundamental2,True,False,moderada,1,,,,,,,,,
RA-1010,0,masculino,2023,publico,9.5,10.0,3.77,9.4,nao,8.59,10.0,2023,7.8125,8,topazio,9.0,9.8,9.1,0.0,8.70645,ingressante,escolar,fundamental1,True,False,em fase,0,,,,,,,,,
RA-1011,0,masculino,2023,publico,9.5,8.6,3.77,5.2,nao,7.675,10.0,2023,7.1875,0,ametista,5.5,4.8,5.04,0.0,7.33095,ingressante,escolar,fundamental1,True,False,em fase,0,,,,,,,,,
