id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia
RA-1055,1,masculino,2023,publico,0.0,7.2,7.52,5.5,nao,7.276666667,5.0,2023,7.291666667,11,quartzo,6.0,5.0,-1.0,5.9765,ingressante,escolar,fundamental1,False,True,moderada,0
RA-1056,1,masculino,2023,publico,8.5,9.6,7.52,8.1,nao,8.113333333,10.0,2023,7.96875,9,topazio,7.8,8.3,0.0,8.551741667,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1057,1,feminino,2023,publico,10.0,10.0,7.52,6.3,nao,8.34,10.0,2023,8.125,9,topazio,6.5,6.0,0.0,8.4827,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1058,1,feminino,2023,publico,10.0,8.7,3.14,5.4,nao,7.62,10.0,2023,7.083333333,0,ametista,4.0,6.7,0.0,7.356533333,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1059,1,masculino,2023,publico,10.0,9.8,2.52,7.6,nao,8.673333333,5.0,2023,7.96875,0,ametista,6.2,9.0,-1.0,7.763741667,ingressante,escolar,fundamental1,False,False,moderada,0
RA-106,4,feminino,2016,privado,9.2,8.0,9.4,7.4,sim,8.375,5.0,2022,7.770833333400001,15,ametista,7.8,7.2,-1.0,7.973,veterano,escolar,fundamental2,False,False,moderada,6
RA-106,5,feminino,2016,privado,7.9,9.1,5.0,7.3,nao,7.5075,10.0,2023,7.03125,15,ametista,6.7,6.8,0.0,7.769658333,veterano,escolar,medio,False,False,em fase,7
RA-1060,1,masculino,2023,publico,9.0,8.6,3.14,5.7,nao,8.673333333,5.0,2023,7.96875,0,ametista,4.3,7.0,-1.0,7.095741667,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1061,1,masculino,2023,publico,9.5,9.7,3.14,9.3,nao,8.836666667,5.0,2023,8.75,10,topazio,8.8,9.7,-1.0,8.196533333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1062,1,masculino,2023,publico,7.4,7.7,3.77,6.2,nao,8.503333333,10.0,2023,8.59375,0,ametista,4.8,7.5,0.0,7.448841667,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1063,1,masculino,2023,privado,9.5,9.5,7.52,5.9,nao,7.89,5.0,2023,6.40625,0,ametista,4.7,7.0,-1.0,7.490825,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1064,1,masculino,2023,publico,8.5,9.8,7.52,8.6,nao,8.84,5.0,2023,9.375,10,topazio,8.3,8.8,-1.0,8.4777,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1065,1,feminino,2023,publico,8.5,9.6,7.52,7.0,nao,8.84,5.0,2023,8.4375,0,topazio,7.7,6.3,-1.0,8.03395,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1066,1,feminino,2023,publico,8.5,6.6,7.52,6.2,nao,8.783333333,5.0,2023,8.4375,10,ametista,4.2,8.2,-1.0,7.262616667,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1067,1,masculino,2023,publico,0.0,7.9,7.52,5.4,nao,9.006666667,5.0,2023,8.28125,10,agata,4.5,6.3,-1.0,6.541458333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1068,1,masculino,2023,publico,8.5,9.3,6.89,9.0,sim,9.283333333,5.0,2023,9.166666667,0,topazio,8.3,9.7,-1.0,8.472533333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1069,1,masculino,2023,publico,9.0,7.8,7.52,7.1,nao,8.226666667,5.0,2023,8.125,11,ametista,7.5,6.7,-1.0,7.590033333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-107,4,feminino,2018,publico,7.5,6.4,7.5,4.6,nao,6.5,5.0,2022,7.1,15,agata,3.3,4.3,-1.0,6.258,veterano,escolar,fundamental2,False,False,moderada,4
RA-107,5,feminino,2018,publico,0.0,8.5,5.0,7.0,nao,7.5875,10.0,2023,7.34375,15,agata,6.0,5.2,0.0,6.845208333,veterano,escolar,medio,False,True,em fase,5
RA-1070,1,masculino,2023,publico,9.0,7.8,3.14,5.8,nao,8.67,5.0,2023,7.708333333,11,agata,5.3,6.3,-1.0,6.939033333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1071,1,masculino,2023,publico,9.0,8.6,7.52,3.5,nao,6.396666667,5.0,2023,5.625,11,agata,1.7,5.3,-1.0,6.414033333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1072,2,masculino,2023,publico,9.0,8.6,5.0,6.7,nao,8.7125,10.0,2023,8.125,11,topazio,5.2,8.2,0.0,8.0152,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1073,2,feminino,2023,publico,0.0,8.8,2.52,6.2,nao,9.045,5.0,2023,8.333333333,0,agata,4.8,7.5,-1.0,6.384333333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1075,2,feminino,2023,publico,0.0,9.6,5.0,5.5,nao,9.0025,5.0,2023,7.708333333,12,agata,5.0,6.0,-1.0,6.591333333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1076,2,feminino,2023,publico,9.0,9.7,2.52,8.5,nao,8.8775,5.0,2023,8.333333333,0,ametista,9.0,8.0,-1.0,7.901033333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1077,2,masculino,2023,publico,0.0,9.7,2.52,7.3,nao,8.4225,10.0,2023,8.75,0,ametista,6.8,7.8,0.0,7.2115,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1079,2,masculino,2023,publico,9.0,8.1,2.52,7.6,nao,7.13,5.0,2023,7.083333333,0,agata,7.3,7.8,-1.0,6.916533333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-108,4,feminino,2019,publico,4.6,7.7,5.0,5.0,nao,6.125,2.5,2022,6.6875,17,quartzo,3.0,5.8,-3.0,5.547,veterano,escolar,fundamental2,False,False,severa,3
RA-1081,2,feminino,2023,publico,10.0,10.0,2.52,6.5,nao,8.59,5.0,2023,8.958333333,14,ametista,8.0,5.0,-2.0,7.666033333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1082,2,feminino,2023,publico,9.5,9.5,2.52,5.0,nao,8.4225,5.0,2023,8.75,0,ametista,3.5,6.5,-1.0,7.1617,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1084,2,feminino,2023,publico,8.4,10.0,2.52,6.8,nao,8.38,10.0,2023,8.75,11,ametista,5.0,8.5,0.0,7.9948,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1087,2,feminino,2023,publico,10.0,9.5,2.52,5.4,nao,8.0475,5.0,2023,8.75,12,ametista,3.7,7.0,-1.0,7.2067,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1089,2,feminino,2023,publico,9.0,9.5,2.52,7.0,nao,8.3375,10.0,2023,8.75,0,ametista,6.0,8.0,0.0,7.9947,ingressante,escolar,fundamental2,False,False,em fase,0
RA-109,4,masculino,2021,privado,8.8,10.0,8.8,8.4,sim,8.667,5.0,2022,8.1354166666,16,topazio,7.8,7.5,-2.0,8.512,veterano,escolar,fundamental2,False,False,moderada,1
RA-1090,2,masculino,2023,publico,9.0,9.6,2.52,9.0,nao,7.88,5.0,2023,8.958333333,13,ametista,8.7,9.3,-1.0,7.844033333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1093,2,masculino,2023,publico,7.0,9.3,2.52,9.2,nao,8.2975,10.0,2023,8.958333333,11,topazio,9.3,9.0,0.0,8.197533333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1094,2,feminino,2023,publico,7.8,9.5,2.52,8.5,nao,8.3375,10.0,2023,8.75,11,topazio,7.8,9.2,0.0,8.1779,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1095,2,masculino,2023,publico,0.0,9.8,2.52,5.3,nao,8.005,5.0,2023,8.75,0,agata,5.8,4.7,-1.0,6.238,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1096,2,feminino,2023,publico,9.5,9.9,2.52,9.6,nao,8.0875,10.0,2023,8.958333333,0,topazio,9.5,9.7,0.0,8.615533333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1097,2,masculino,2023,publico,9.5,8.6,5.0,5.4,nao,6.96,5.0,2023,8.125,0,agata,4.3,6.5,-2.0,6.9547,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1098,2,feminino,2023,publico,9.5,9.5,2.52,6.4,nao,7.92,5.0,2023,8.125,13,ametista,6.3,6.5,-1.0,7.2787,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1099,2,feminino,2023,publico,9.0,9.6,2.52,5.2,nao,8.34,5.0,2023,8.333333333,13,ametista,5.7,4.7,-1.0,7.113533333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-110,4,masculino,2017,privado,9.2,9.7,5.6,6.7,nao,8.0,10.0,2022,7.9375,14,topazio,8.3,5.7,0.0,8.15,veterano,escolar,fundamental2,False,False,em fase,5
RA-110,5,masculino,2017,privado,8.3,8.6,5.0,7.5,nao,8.2975,10.0,2023,8.75,15,topazio,8.3,6.2,0.0,8.0879,veterano,escolar,medio,False,False,em fase,6
RA-1100,2,masculino,2023,publico,10.0,9.2,5.0,7.1,nao,8.283333333,10.0,2023,8.541666667,0,topazio,6.3,7.8,0.0,8.261033333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1102,2,masculino,2023,publico,9.5,9.5,5.0,7.5,nao,7.56,10.0,2023,7.708333333,0,topazio,5.7,9.2,0.0,8.123033333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1103,2,masculino,2023,publico,9.0,8.7,5.0,5.0,nao,8.006666667,10.0,2023,8.333333333,10,ametista,4.5,5.5,0.0,7.574866667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1106,2,masculino,2023,publico,8.5,9.3,5.0,5.1,nao,8.003333333,5.0,2023,8.333333333,12,ametista,5.2,5.0,-1.0,7.1642,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1107,2,feminino,2023,publico,9.0,9.4,5.0,7.5,nao,8.783333333,5.0,2023,8.958333333,12,ametista,8.0,7.0,-1.0,7.9327,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1108,2,masculino,2023,publico,0.0,9.3,5.0,4.7,nao,8.283333333,5.0,2023,8.541666667,12,agata,3.7,5.7,-1.0,6.310833333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-111,4,feminino,2020,privado,7.5,9.4,8.1,8.0,sim,8.667,10.0,2022,8.395833333199999,13,topazio,6.7,7.5,1.0,8.646,veterano,escolar,fundamental2,False,False,em fase,2
RA-111,5,feminino,2020,privado,7.5,8.7,5.0,6.0,nao,8.0875,10.0,2023,7.65625,14,ametista,6.0,5.2,1.0,7.566458333,veterano,escolar,medio,False,True,em fase,3
RA-1111,2,feminino,2023,publico,0.0,8.9,2.52,5.4,nao,8.173333333,10.0,2023,8.125,0,agata,4.8,6.0,0.0,6.559166667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1112,2,masculino,2023,publico,9.5,7.9,2.52,6.3,nao,8.616666667,5.0,2023,8.333333333,12,ametista,5.2,7.3,-1.0,7.088866667,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1114,2,feminino,2023,publico,8.5,9.8,2.52,4.9,nao,8.56,10.0,2023,8.125,11,ametista,4.3,5.5,0.0,7.5667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1115,2,feminino,2023,publico,0.0,8.3,7.52,4.0,nao,7.56,10.0,2023,7.5,0,agata,6.0,2.0,0.0,6.474,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1116,2,masculino,2023,publico,9.5,9.2,5.0,4.9,nao,7.39,5.0,2023,7.083333333,13,agata,3.8,6.0,-1.0,6.956533333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1117,2,feminino,2023,publico,9.0,9.6,7.52,7.3,nao,7.946666667,10.0,2023,7.708333333,0,topazio,6.0,8.5,0.0,8.382366667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1118,2,feminino,2023,publico,5.3,8.8,7.52,6.0,nao,8.28,5.0,2023,7.708333333,0,ametista,4.8,7.2,-1.0,7.163833333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1119,2,feminino,2023,publico,7.3,9.7,3.77,5.9,nao,8.453333333,5.0,2023,7.708333333,13,ametista,3.0,8.8,-1.0,7.192,ingressante,escolar,fundamental2,False,False,moderada,0
RA-112,4,feminino,2016,privado,7.9,7.8,6.3,8.5,sim,8.833,5.0,2022,7.84375,15,ametista,9.0,7.5,-1.0,7.836,veterano,escolar,fundamental2,False,False,moderada,6
RA-112,5,feminino,2016,privado,6.7,8.1,5.0,7.4,nao,7.9225,5.0,2023,7.96875,0,ametista,7.3,6.5,-1.0,7.141308333,veterano,escolar,medio,False,False,moderada,7
RA-1121,2,masculino,2023,publico,0.0,9.9,6.26,8.0,sim,9.84,10.0,2023,8.75,0,topazio,6.5,9.5,0.0,8.049,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1122,2,masculino,2023,publico,0.0,9.3,6.89,6.9,nao,8.616666667,10.0,2023,7.291666667,11,ametista,5.2,8.5,0.0,7.3715,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1127,2,feminino,2023,publico,8.5,9.9,5.02,6.9,nao,9.01,10.0,2023,8.125,0,topazio,5.0,8.7,0.0,8.3167,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1129,2,masculino,2023,publico,0.0,9.2,6.27,7.8,nao,7.503333333,10.0,2023,7.916666667,11,ametista,6.8,8.7,0.0,7.309333333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-113,4,feminino,2017,privado,0.0,0.0,5.0,3.7,nao,3.792,5.0,2022,6.2541666666,15,quartzo,3.3,5.5,-1.0,3.032,veterano,escolar,fundamental2,True,False,moderada,5
RA-1130,2,masculino,2023,publico,8.5,8.4,7.52,7.3,nao,7.503333333,10.0,2023,7.708333333,11,topazio,6.3,8.2,0.0,8.0037,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1131,2,feminino,2023,publico,7.9,9.9,5.02,9.1,nao,9.286666667,5.0,2023,8.75,12,topazio,8.3,9.8,-1.0,8.316133333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1133,2,feminino,2023,publico,9.5,10.0,6.27,6.5,nao,9.343333333,10.0,2023,8.541666667,10,topazio,5.0,8.0,0.0,8.600033333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1134,2,masculino,2023,publico,8.0,9.7,3.76,6.8,nao,7.56,10.0,2023,7.916666667,11,ametista,5.5,8.0,0.0,7.769866667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1136,2,feminino,2023,publico,6.8,8.1,2.52,6.6,nao,7.723333333,5.0,2023,8.333333333,13,agata,4.8,8.3,-1.0,6.7351,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1137,2,feminino,2023,publico,9.5,9.8,6.27,6.5,sim,9.843333333,10.0,2023,9.375,10,topazio,6.0,7.0,0.0,8.743366667,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1139,2,masculino,2023,publico,8.5,9.1,5.64,5.3,nao,7.79,10.0,2023,8.125,11,ametista,6.3,4.3,0.0,7.6647,ingressante,escolar,fundamental2,False,False,em fase,0
RA-114,4,masculino,2022,publico,7.9,6.3,7.5,5.3,nao,5.0,5.0,2022,6.975,16,quartzo,6.0,4.5,-2.0,5.894,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1140,2,feminino,2023,publico,4.7,8.7,7.52,7.3,nao,7.62,10.0,2023,7.708333333,11,ametista,8.5,6.0,0.0,7.703533333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1141,2,feminino,2023,publico,9.0,8.8,7.52,5.9,nao,7.113333333,5.0,2023,7.708333333,12,ametista,5.5,6.2,-1.0,7.2757,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1142,2,feminino,2023,publico,9.0,10.0,7.52,10.0,nao,8.343333333,10.0,2023,8.541666667,11,topazio,10.0,10.0,0.0,9.175033333,ingressante,escolar,fundamental2,False,False,em fase,0
RA-1143,3,feminino,2023,publico,8.8,7.0,6.26,5.3,nao,6.2075,5.0,2023,7.5,15,agata,6.0,6.3,-2.0,6.445933333,ingressante,escolar,fundamental2,False,True,moderada,0
RA-1146,3,feminino,2023,publico,9.6,8.8,6.26,3.7,nao,6.965,5.0,2023,7.1875,14,agata,5.0,3.3,-1.0,6.689583333,ingressante,escolar,fundamental2,False,True,moderada,0
RA-1147,3,feminino,2023,publico,8.3,8.3,6.26,6.7,nao,7.0075,5.0,2023,7.1875,0,ametista,5.0,7.5,-1.0,7.072983333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-1149,3,feminino,2023,publico,8.3,9.8,2.52,7.2,nao,8.1725,5.0,2023,7.96875,0,ametista,6.0,6.8,-1.0,7.410108333,ingressante,escolar,fundamental2,False,False,moderada,0
RA-115,4,feminino,2019,publico,8.3,6.8,6.3,3.8,nao,5.583,5.0,2022,6.708333333400001,16,quartzo,3.0,5.7,-2.0,5.886,veterano,escolar,fundamental2,False,False,moderada,3
RA-115,5,feminino,2019,publico,8.8,7.1,5.0,4.2,nao,7.215,5.0,2023,7.34375,16,agata,3.7,3.8,-1.0,6.319141667,veterano,escolar,medio,False,True,moderada,4
